,City,Price,Area,Location,bhk
0,Bangalore,6700000.0,1180.0,Bangalore 5th Phase,2.0
1,Bangalore,5800000.0,1185.0,Bangalore 5th Phase,2.0
3,Bangalore,8400000.0,1180.0,Bangalore 5th Phase,2.0
4,Bangalore,4876000.0,1185.0,Bangalore 5th Phase,2.0
6,Bangalore,7498999.0,1180.0,Bangalore 5th Phase,2.0
7,Bangalore,4800000.0,1180.0,Bangalore 5th Phase,2.0
8,Bangalore,13200000.0,1180.0,Bangalore 5th Phase,2.0
9,Bangalore,16000000.0,1185.0,Bangalore 5th Phase,2.0
10,Bangalore,4000000.0,910.0,Bangalore Abbigere,2.0
11,Bangalore,4000000.0,910.0,Bangalore Abbigere,2.0
12,Bangalore,4000000.0,940.0,Bangalore Abbigere,2.0
13,Bangalore,3800000.0,940.0,Bangalore Abbigere,2.0
14,Bangalore,3100000.0,910.0,Bangalore Abbigere,2.0
15,Bangalore,3100000.0,910.0,Bangalore Abbigere,2.0
16,Bangalore,4833000.0,910.0,Bangalore Abbigere,2.0
17,Bangalore,3800000.0,910.0,Bangalore Abbigere,2.0
18,Bangalore,4000000.0,940.0,Bangalore Abbigere,2.0
19,Bangalore,4860000.0,940.0,Bangalore Abbigere,2.0
20,Bangalore,4000000.0,940.0,Bangalore Abbigere,2.0
21,Bangalore,3180000.0,910.0,Bangalore Abbigere,2.0
22,Bangalore,4300000.0,940.0,Bangalore Abbigere,2.0
23,Bangalore,5000000.0,910.0,Bangalore Abbigere,2.0
24,Bangalore,18900000.0,988.0,Bangalore Adugodi,1.0
25,Bangalore,22599999.0,1860.0,Bangalore Adugodi,3.0
26,Bangalore,9000000.0,1495.0,Bangalore Adugodi,2.0
27,Bangalore,9000000.0,1083.0,Bangalore Adugodi,2.0
28,Bangalore,23000000.0,1460.0,Bangalore Adugodi,2.0
31,Bangalore,14300000.0,988.0,Bangalore Adugodi,1.0
32,Bangalore,13799999.0,1445.0,Bangalore Adugodi,2.0
34,Bangalore,4304000.0,1083.0,Bangalore Adugodi,2.0
35,Bangalore,3232000.0,1127.0,Bangalore Adugodi,2.0
36,Bangalore,7837000.0,1866.0,Bangalore Anagalapura Near Hennur Main Road,3.0
37,Bangalore,9834000.0,2235.0,Bangalore Anagalapura Near Hennur Main Road,3.0
38,Bangalore,8298999.0,1976.0,Bangalore Anagalapura Near Hennur Main Road,3.0
41,Bangalore,4400000.0,1000.0,Bangalore Anagalapura Near Hennur Main Road,2.0
42,Bangalore,4455000.0,1100.0,Bangalore Anagalapura Near Hennur Main Road,2.0
43,Bangalore,4100000.0,1000.0,Bangalore Anagalapura Near Hennur Main Road,2.0
44,Bangalore,4489000.0,1095.0,Bangalore Anagalapura Near Hennur Main Road,2.0
45,Bangalore,4407000.0,1075.0,Bangalore Anagalapura Near Hennur Main Road,2.0
46,Bangalore,4407000.0,1075.0,Bangalore Anagalapura Near Hennur Main Road,2.0
47,Bangalore,4325000.0,1055.0,Bangalore Anagalapura Near Hennur Main Road,2.0
48,Bangalore,4489000.0,1095.0,Bangalore Anagalapura Near Hennur Main Road,2.0
49,Bangalore,5700000.0,1414.0,Bangalore Anagalapura Near Hennur Main Road,2.0
51,Bangalore,4272000.0,1000.0,Bangalore Anagalapura Near Hennur Main Road,2.0
52,Bangalore,4272000.0,1055.0,Bangalore Anagalapura Near Hennur Main Road,2.0
53,Bangalore,4100000.0,1000.0,Bangalore Anagalapura Near Hennur Main Road,2.0
54,Bangalore,4489000.0,1095.0,Bangalore Anagalapura Near Hennur Main Road,2.0
55,Bangalore,4489000.0,1095.0,Bangalore Anagalapura Near Hennur Main Road,2.0
56,Bangalore,4455000.0,1100.0,Bangalore Anagalapura Near Hennur Main Road,2.0
57,Bangalore,4407000.0,1075.0,Bangalore Anagalapura Near Hennur Main Road,2.0
58,Bangalore,4455000.0,1100.0,Bangalore Anagalapura Near Hennur Main Road,2.0
59,Bangalore,4455000.0,1100.0,Bangalore Anagalapura Near Hennur Main Road,2.0
60,Bangalore,4407000.0,1075.0,Bangalore Anagalapura Near Hennur Main Road,2.0
61,Bangalore,4407000.0,1075.0,Bangalore Anagalapura Near Hennur Main Road,2.0
62,Bangalore,3911000.0,954.0,Bangalore Anagalapura Near Hennur Main Road,2.0
63,Bangalore,4495000.0,1110.0,Bangalore Anagalapura Near Hennur Main Road,2.0
64,Bangalore,4100000.0,1000.0,Bangalore Anagalapura Near Hennur Main Road,2.0
65,Bangalore,4272000.0,1055.0,Bangalore Anagalapura Near Hennur Main Road,2.0
66,Bangalore,5797000.0,1414.0,Bangalore Anagalapura Near Hennur Main Road,2.0
67,Bangalore,4455000.0,1100.0,Bangalore Anagalapura Near Hennur Main Road,1.0
68,Bangalore,4212000.0,1040.0,Bangalore Anagalapura Near Hennur Main Road,2.0
69,Bangalore,4407000.0,1075.0,Bangalore Anagalapura Near Hennur Main Road,2.0
